Option,Loss,AverageTime,SuccessCount,TotalRuns
1,0.0,0.042,1,1
1,0.05,0.0412,1,1
1,0.1,0.0419,1,1
1,0.15,0.0411,1,1
1,0.2,0.042,1,1
1,0.25,0.0415,1,1
1,0.3,0.0408,1,1
1,0.35,0.04,1,1
1,0.4,0.0412,1,1
1,0.45,0.0406,1,1
1,0.5,0.0416,1,1
1,0.55,0.0412,1,1
1,0.6,0.0417,1,1
1,0.65,0.041,1,1
1,0.7,0.0406,1,1
1,0.75,0.0418,1,1
1,0.8,0.0417,1,1
1,0.85,0.0411,1,1
1,0.9,0.0414,1,1
1,0.95,0.0407,1,1
2,0.0,0.0412,1,1
2,0.05,0.0411,1,1
2,0.1,0.041,1,1
2,0.15,0.0417,1,1
2,0.2,0.0413,1,1
2,0.25,0.0411,1,1
2,0.3,0.0408,1,1
2,0.35,0.0412,1,1
2,0.4,0.0422,1,1
2,0.45,0.2008,0,1
2,0.5,0.194,0,1
2,0.55,0.1983,0,1
2,0.6,0.1945,0,1
2,0.65,0.0409,1,1
2,0.7,0.2018,0,1
2,0.75,0.197,0,1
2,0.8,0.1978,0,1
2,0.85,0.0447,1,1
2,0.9,0.2057,0,1
2,0.95,0.1976,0,1
3,0.0,0.0415,1,1
3,0.05,0.0414,1,1
3,0.1,0.041,1,1
3,0.15,0.0408,1,1
3,0.2,0.0405,1,1
3,0.25,0.0406,1,1
3,0.3,0.2965,1,1
3,0.35,0.1609,1,1
3,0.4,0.0414,1,1
3,0.45,0.1598,1,1
3,0.5,0.2912,1,1
3,0.55,0.0412,1,1
3,0.6,0.4172,1,1
3,0.65,0.4181,1,1
3,0.7,1.6963,1,1
3,0.75,0.5486,1,1
3,0.8,0.7978,1,1
3,0.85,3.1046,1,1
3,0.9,2.2086,1,1
3,0.95,9.1046,1,1
4,0.0,0.0414,1,1
4,0.05,0.0418,1,1
4,0.1,0.0425,1,1
4,0.15,0.0408,1,1
4,0.2,0.043,1,1
4,0.25,0.0431,1,1
4,0.3,0.1923,0,1
4,0.35,0.0468,1,1
4,0.4,0.0426,1,1
4,0.45,0.0419,1,1
4,0.5,0.0416,1,1
4,0.55,0.041,1,1
4,0.6,0.1907,0,1
4,0.65,0.198,0,1
4,0.7,0.1951,0,1
4,0.75,0.0414,1,1
4,0.8,0.0418,1,1
4,0.85,0.2014,0,1
4,0.9,0.1949,0,1
4,0.95,0.1977,0,1
5,0.0,0.042,1,1
5,0.05,0.0414,1,1
5,0.1,0.0412,1,1
5,0.15,0.0414,1,1
5,0.2,0.2876,1,1
5,0.25,0.041,1,1
5,0.3,0.1581,1,1
5,0.35,0.0406,1,1
5,0.4,0.0431,1,1
5,0.45,0.4236,1,1
5,0.5,0.4195,1,1
5,0.55,0.4216,1,1
5,0.6,0.6741,1,1
5,0.65,0.4187,1,1
5,0.7,0.2892,1,1
5,0.75,0.4182,1,1
5,0.8,1.9506,1,1
5,0.85,0.5462,1,1
5,0.9,1.3142,1,1
5,0.95,6.9203,1,1
